Date,open,high,low,close,volume,Company
2024-08-21,2985.0,3015.85,2980.0,2996.55,90361,RELIANCE
2024-08-20,2986.25,3007.65,2981.0,2993.35,311800,RELIANCE
2024-08-19,2967.45,2996.35,2963.0,2977.2,92320,RELIANCE
2024-08-16,2933.35,2961.0,2916.65,2956.15,623255,RELIANCE
2024-08-14,2926.5,2943.4,2908.0,2922.65,57087,RELIANCE
2024-08-13,2925.0,2939.9,2915.6,2926.9,1486008,RELIANCE
2024-08-12,2932.4,2946.0,2916.2,2921.5,146474,RELIANCE
2024-08-09,2927.7,2954.05,2912.05,2948.3,381256,RELIANCE
2024-08-08,2923.0,2927.2,2892.25,2895.5,177212,RELIANCE
2024-08-07,2945.75,2946.1,2923.0,2929.2,122273,RELIANCE
2024-08-06,2901.15,2955.35,2901.15,2911.8,194135,RELIANCE
2024-08-05,2950.05,2960.1,2865.8,2894.7,247164,RELIANCE
2024-08-02,3000.4,3018.35,2985.8,2998.45,612462,RELIANCE
2024-08-01,3023.8,3036.9,3009.85,3031.7,69866,RELIANCE
2024-07-31,3013.95,3020.95,3003.1,3010.25,62664,RELIANCE
2024-07-30,3034.75,3049.9,3021.15,3025.55,145741,RELIANCE
2024-07-29,3039.95,3054.0,3025.45,3040.75,59528,RELIANCE
2024-07-26,2998.75,3025.95,2981.9,3017.85,771164,RELIANCE
2024-07-25,2961.0,3001.15,2954.7,2982.6,87372,RELIANCE
2024-07-24,2964.85,3020.0,2953.7,2990.65,164239,RELIANCE
2024-07-23,3004.95,3012.85,2927.1,2975.65,263864,RELIANCE
2024-07-22,3070.15,3073.35,2998.8,3001.1,190073,RELIANCE
2024-07-19,3175.0,3179.0,3104.15,3109.5,573855,RELIANCE
2024-07-18,3152.0,3186.6,3116.1,3170.35,156250,RELIANCE
2024-07-16,3192.4,3200.0,3138.15,3151.45,59156,RELIANCE
2024-07-15,3200.15,3211.45,3171.0,3193.7,159246,RELIANCE
2024-07-12,3172.8,3209.95,3148.65,3193.45,722287,RELIANCE
2024-07-11,3178.0,3207.85,3140.65,3163.5,103182,RELIANCE
2024-07-10,3185.0,3195.0,3126.75,3166.9,70908,RELIANCE
2024-07-09,3199.95,3201.1,3162.05,3180.15,167556,RELIANCE
2024-07-08,3179.9,3217.9,3165.0,3202.1,191870,RELIANCE
2024-07-05,3103.8,3197.65,3096.1,3180.05,758977,RELIANCE
2024-07-04,3116.95,3134.5,3102.3,3107.9,132481,RELIANCE
2024-07-03,3130.35,3149.5,3085.2,3105.3,171684,RELIANCE
2024-07-02,3133.8,3150.0,3113.35,3132.3,157108,RELIANCE
2024-07-01,3129.95,3157.55,3110.4,3120.35,187606,RELIANCE
2024-06-28,3060.95,3161.45,3060.95,3131.85,1032891,RELIANCE
2024-06-27,3021.5,3075.0,3012.1,3061.1,331110,RELIANCE
2024-06-26,2899.95,3037.0,2890.15,3027.4,722696,RELIANCE
2024-06-25,2895.0,2912.1,2883.4,2908.5,209726,RELIANCE
2024-06-24,2892.0,2899.0,2874.4,2883.0,62693,RELIANCE
2024-06-21,2943.4,2949.05,2880.5,2906.8,897470,RELIANCE
2024-06-20,2929.95,2964.9,2900.7,2946.4,99122,RELIANCE
2024-06-19,2971.4,2975.2,2911.25,2917.2,97508,RELIANCE
2024-06-18,2970.2,2974.0,2941.2,2961.4,108022,RELIANCE
2024-06-14,2936.1,2958.7,2913.4,2954.55,186345,RELIANCE
2024-06-13,2946.0,2946.0,2920.55,2928.65,57563,RELIANCE
2024-06-12,2913.5,2952.0,2911.0,2926.05,172574,RELIANCE
2024-06-11,2949.95,2949.95,2910.0,2913.5,125968,RELIANCE
2024-06-10,2943.75,2986.55,2935.55,2940.6,87066,RELIANCE
2024-06-07,2858.0,2944.5,2852.95,2939.45,952205,RELIANCE
2024-06-06,2869.0,2886.0,2843.0,2863.75,255378,RELIANCE
2024-06-05,2848.95,2861.35,2768.05,2842.15,180086,RELIANCE
2024-06-04,3007.95,3007.95,2719.15,2793.6,1035428,RELIANCE
2024-06-03,2974.9,3029.9,2918.0,3021.25,315231,RELIANCE
2024-05-31,2864.65,2884.2,2843.25,2859.6,797286,RELIANCE
2024-05-30,2884.0,2884.0,2841.5,2850.0,54132,RELIANCE
2024-05-29,2897.0,2916.1,2877.0,2881.45,65081,RELIANCE
2024-05-28,2941.95,2957.0,2905.4,2911.25,116320,RELIANCE
2024-05-27,2960.8,2967.45,2924.0,2932.45,134571,RELIANCE
2024-05-24,2966.0,2977.0,2951.2,2959.8,456597,RELIANCE
2024-05-23,2918.3,2983.55,2912.0,2973.2,197056,RELIANCE
2024-05-22,2872.9,2936.8,2872.9,2920.75,110842,RELIANCE
2024-05-21,2859.0,2883.0,2852.9,2871.3,130907,RELIANCE
2024-05-17,2842.35,2874.85,2826.0,2870.7,415357,RELIANCE
2024-05-16,2835.0,2854.3,2796.6,2850.2,71121,RELIANCE
2024-05-15,2845.0,2859.4,2825.5,2831.15,51822,RELIANCE
2024-05-14,2805.0,2854.05,2800.0,2839.8,137617,RELIANCE
2024-05-13,2798.05,2813.15,2768.05,2805.3,131567,RELIANCE
2024-05-10,2790.15,2821.35,2775.2,2815.15,382788,RELIANCE
2024-05-09,2859.0,2859.0,2780.0,2786.8,106347,RELIANCE
2024-05-08,2795.0,2866.95,2795.0,2836.95,278869,RELIANCE
2024-05-07,2832.0,2840.75,2785.0,2803.95,169570,RELIANCE
2024-05-06,2875.0,2881.45,2836.25,2839.0,143404,RELIANCE
2024-05-03,2938.55,2949.1,2832.7,2868.5,343554,RELIANCE
2024-05-02,2945.35,2953.9,2927.65,2932.1,124785,RELIANCE
2024-04-30,2930.9,2965.0,2927.0,2931.15,237096,RELIANCE
2024-04-29,2902.95,2935.55,2900.1,2930.5,194646,RELIANCE
2024-04-26,2925.15,2930.0,2900.0,2903.0,450580,RELIANCE
2024-04-25,2888.0,2935.0,2885.2,2918.4,192974,RELIANCE
2024-04-24,2922.3,2936.65,2898.7,2900.6,78386,RELIANCE
2024-04-23,2968.55,2986.05,2912.5,2918.5,273433,RELIANCE
2024-04-22,2950.0,2964.3,2936.6,2960.6,175983,RELIANCE
2024-04-19,2918.95,2947.0,2886.75,2941.6,530975,RELIANCE
2024-04-18,2929.0,2971.5,2919.0,2928.15,205714,RELIANCE
2024-04-16,2909.95,2942.0,2902.1,2934.45,157052,RELIANCE
2024-04-15,2908.65,2964.5,2893.15,2932.9,301990,RELIANCE
2024-04-12,2955.0,2973.0,2925.7,2935.1,677948,RELIANCE
2024-04-10,2949.95,2974.0,2934.55,2958.6,164355,RELIANCE
2024-04-09,2975.0,2978.75,2925.0,2927.1,59883,RELIANCE
